# Discretely self-similar (Choptuik) solution of the Einstein / massless-scalar
# system in spherical symmetry, from the fixed-point equation
#     S_(Delta/2)[H] + H = 0
# solved by black-box Newton-Krylov with no tuning of initial data
# (src/dss_newton.py; see docs/09_dss_fixed_point.md).
#
# Grid:         X is PIECEWISE uniform in the first three files, with step
#               0.01 on [0, 0.5), 0.025 on [0.5, 2) and 0.05 on [2, 4];
#               151 rows.  The adjoint file uses the 224 Chebyshev
#               collocation nodes of its own solve instead, at full double
#               precision, for the reason given in its header (see below).
#
# Coordinates:  T = -ln(u* - u),  X = r/(u* - u)
# State:        H(X) = h = d(r phi)/dr        (dimensionless, scale invariant)
# Constraints:  Hbar = (1/X) int_0^X H dX  ( = phi exactly )
#               ln g = 4 pi int_0^X (H-Hbar)^2 dX/X
#               gbar = (1/X) int_0^X g dX
# Evolution:    H_T = -(X - gbar/2) H_X + (g-gbar)(H-Hbar)/(2X)
# Antiperiodic: H(T + Delta/2, X) = -H(T, X)
#
# Delta   = 3.445452403(4)  value adopted in the paper, from the Chebyshev
#                          sequence; the bracket is that sequence's own
#                          scatter over resolution, not an error bound
#                          Martin-Garcia & Gundlach 2003: 3.445452402(3)
#           Each file also carries the Delta of the solve it came from, with
#           that solve, below:
#             profile, growing mode      finite differences, N = 800
#             lam_1 mode, lam_1 adjoint  Chebyshev, N = 224
# gamma   = 0.3739608      = 1/lam_0, from lam_0 = 2.674077202
# lam_0   = +2.6740772     the only growing mode in this sector
# lam_g   = +1.0000000     gauge mode u* -> u* + d; exactly 1
# lam     =  0 (twice)     phase (T -> T + a) and constant (H -> H + c)
# lam_1   = -0.8948202     least-damped decaying mode; first determination
# mu      =  0.6139        transverse Floquet exponent of the self-similarity
#                          horizon, treated as the repelling periodic orbit of
#                          the ray equation.  A RAY starting a distance eps
#                          inside it reaches the centre at T = (1/mu) ln(1/eps)
#                          + C(T) + o(1) as eps -> 0, with C of period
#                          Delta/2.  Only the log is fixed by mu: at arrival
#                          the separation is O(1), so the linearization does
#                          not reach the endpoint and C also carries the
#                          nonlinear transit to the centre.  Measured over 7.2
#                          half-periods the remainder oscillates between 2.19
#                          and 2.43 without settling; one harmonic of period
#                          Delta/2 accounts for 62% of the variance.  This is a
#                          statement about characteristics only: the size of a
#                          field perturbation inside the horizon is set by the
#                          Floquet spectrum, and the growing, gauge and neutral
#                          directions do not decay (Sec. VI D of the paper).
# X_h(0)  = 1.352471       horizon periodic orbit at the reference phase
# max X_h = 1.560820       its maximum over the cycle
#
# Parity under Delta/2 (from the sign of the half-period multiplier nu):
#   lam_0, lam_g, phase  are ANTIperiodic -> odd harmonics only (like phi)
#   constant, lam_1      are  periodic    -> even harmonics only
#
# Phase is an exact lam = 0 freedom, so every T-translate is equally a solution.
# phi(0) = -0.52872594 at this phase
#
# Finite-difference fixed point, N = 800 on 0 < X <= 4, 7-point
# differences, 6-point cumulative quadrature, Newton residual
# 4.4e-12; this solve's own period is Delta = 3.4454536098.
#
#      X            H              Hbar(=phi)        g              gbar
    0.525000000    0.281898511   -0.045693018    3.829153281    1.852300648
    0.550000000    0.274351692   -0.030949834    4.060813978    1.947535375
    0.575000000    0.261296948   -0.017943014    4.259880150    2.043870650
    0.600000000    0.244597838   -0.006646502    4.423605819    2.139738017
    0.625000000    0.226030106    0.003035502    4.553271531    2.233794136
    0.650000000    0.207024986    0.011246282    4.652835993    2.325008041
    0.675000000    0.188580514    0.018152922    4.727448074    2.412674367
    0.700000000    0.171297248    0.023926958    4.782320210    2.496376148
    0.725000000    0.155470990    0.028731425    4.822090629    2.575924959
    0.750000000    0.141191299    0.032713790    4.850578590    2.651298730
    0.775000000    0.128422773    0.036003174    4.870777254    2.722587934
    0.800000000    0.117062738    0.038710283    4.884958331    2.789953657
    0.825000000    0.106978522    0.040928764    4.894810261    2.853597107
    0.850000000    0.098029999    0.042737194    4.901571108    2.913738556
    0.875000000    0.090081667    0.044201213    4.906140777    2.970603403
    0.900000000    0.083008928    0.045375546    4.909169642    3.024413357
    0.925000000    0.076700376    0.046305809    4.911125886    3.075381143
    0.950000000    0.071058004    0.047030061    4.912345478    3.123707582
    0.975000000    0.065996646    0.047580114    4.913068764    3.169580220
    1.000000000    0.061442735    0.047982616    4.913467049    3.213172947
    1.025000000    0.057332844    0.048259947    4.913661819    3.254646225
    1.050000000    0.053612429    0.048430954    4.913738630    3.294147678
    1.075000000    0.050234582    0.048511554    4.913757125    3.331812866
    1.100000000    0.047158925    0.048515225    4.913758283    3.367766161
    1.125000000    0.044350591    0.048453416    4.913769652    3.402121630
    1.150000000    0.041779456    0.048335872    4.913809150    3.434983910
    1.175000000    0.039419453    0.048170914    4.913887812    3.466449037
    1.200000000    0.037247888    0.047965663    4.914011795    3.496605221
    1.225000000    0.035245005    0.047726223    4.914183825    3.525533559
    1.250000000    0.033393562    0.047457845    4.914404254    3.553308688
    1.275000000    0.031678438    0.047165049    4.914671824    3.579999384
    1.300000000    0.030086342    0.046851733    4.914984217    3.605669096
    1.325000000    0.028605572    0.046521269    4.915338461    3.630376434
    1.350000000    0.027225792    0.046176573    4.915731205    3.654175607
    1.375000000    0.025937841    0.045820172    4.916158927    3.677116819
    1.400000000    0.024733579    0.045454259    4.916618077    3.699246627
    1.425000000    0.023605759    0.045080738    4.917105168    3.720608255
    1.450000000    0.022547909    0.044701264    4.917616847    3.741241890
    1.475000000    0.021554245    0.044317276    4.918149932    3.761184938
    1.500000000    0.020619566    0.043930025    4.918701437    3.780472260
    1.525000000    0.019739196    0.043540599    4.919268585    3.799136384
    1.550000000    0.018908926    0.043149945    4.919848812    3.817207696
    1.575000000    0.018124955    0.042758886    4.920439764    3.834714613
    1.600000000    0.017383839    0.042368137    4.921039290    3.851683743
    1.625000000    0.016682453    0.041978319    4.921645431    3.868140022
    1.650000000    0.016017961    0.041589969    4.922256415    3.884106849
    1.675000000    0.015387781    0.041203553    4.922870641    3.899606199
    1.700000000    0.014789557    0.040819473    4.923486665    3.914658734
    1.725000000    0.014221138    0.040438074    4.924103193    3.929283896
    1.750000000    0.013680552    0.040059653    4.924719070    3.943500001
    1.775000000    0.013165995    0.039684463    4.925333260    3.957324316
    1.800000000    0.012675807    0.039312720    4.925944848    3.970773135
    1.825000000    0.012208466    0.038944604    4.926553019    3.983861849
    1.850000000    0.011762565    0.038580269    4.927157056    3.996605005
    1.875000000    0.011336808    0.038219840    4.927756327    4.009016366
    1.900000000    0.010930000    0.037863419    4.928350279    4.021108964
    1.925000000    0.010541032    0.037511090    4.928938432    4.032895144
    1.950000000    0.010168881    0.037162917    4.929520367    4.044386616
    1.975000000    0.009812593    0.036818949    4.930095727    4.055594489
    2.000000000    0.009471288    0.036479221    4.930664205    4.066529315
    2.050000000    0.008830395    0.035812566    4.931779525    4.087619437
    2.100000000    0.008240292    0.035163013    4.932864745    4.107731467
    2.150000000    0.007695835    0.034530489    4.933918840    4.126932931
    2.200000000    0.007192531    0.033914817    4.934941229    4.145285198
    2.250000000    0.006726438    0.033315744    4.935931690    4.162844174
    2.300000000    0.006294086    0.032732958    4.936890284    4.179660902
    2.350000000    0.005892407    0.032166104    4.937817294    4.195782082
    2.400000000    0.005518680    0.031614796    4.938713179    4.211250535
    2.450000000    0.005170486    0.031078627    4.939578530    4.226105593
    2.500000000    0.004845666    0.030557179    4.940414039    4.240383456
